video_uuid	video	frame_count	first_frame	last_frame	global_id
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	21	39	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:30
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	10	43	81	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:27
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	48	97	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:31
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	16	54	114	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:32
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	11	55	84	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:28
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	55	55	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:29
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	8	56	77	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:23
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	29	61	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:30
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	30	63	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:33
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	6	63	84	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:34
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	13	64	99	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:31
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	64	64	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:32
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	14	72	112	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:7
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	36	90	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:35
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	32	96	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:36
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	17	98	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:37
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	10	101	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:38
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	8	104	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:37
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	105	105	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:33
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	107	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:39
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	5	108	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:34
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	23	109	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:truck:39
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	11	111	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:truck:35
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	4	119	129	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:36
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	127	127	176073c9-b682-43c3-9b4f-0e84712a8e1c:motorcycle:40
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	5	130	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:41
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	131	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:40
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	139	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:42
