video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,912 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=574 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,994 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=575 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,074 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=576 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,155 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=577 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,237 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=578 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,318 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=579 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,399 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=580 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,484 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=581 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,567 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=582 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,652 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=583 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,744 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=572 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,823 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=573 detections=4
